字段,Notion字段名,Notion字段类型,字段详情,JIRA字段名,字段详情_JIRA,备注
需求名,功能 Name,title,"示例：""roaming等功能联动wifi navi""",Summary,,
需求状态,Status,status,"初始反馈 OR
待评估 UR
待输入 WI
同步中 SYNC
已输入 JIRA
PRD Done
UI Done
UX Done
DEVING
DELAYED
已发布 DONE
重复 DUMP
无效 INVALID
暂不支持 PENDING
无法支持 BAN",Status,"待可行性评估
待方案评估
评估完成
异常状态
可行性评估已完成
方案评估已完成
TODO
todo任务分配
开发中
Testing（测试）
完成",
优先级,优先级 P,select,"高 High
中 Medium
低 Low
无 None",Priority,"Highest
High
Medium
Low
Lowest",
需求说明,功能说明 Desc,rich_text,,Description,,
需求整理(AI),需求整理,rich_text,markdown 格式的需求富文本,Description,,
url,url,url,,Description,Description 中会写入 需求说明 + 需求整理 + Notion对应需求链接,
创建者,无,无,,Reporter,,无须配置，默认为脚本账号： lucien.chen@tp-link.com
分配者,需求录入,people,email格式,Assignee,"可分配用户邮箱列表（共100个）:
alice.ming@tp-link.com
anchao@tp-link.com.hk
anderson.lin@tp-link.com
aobinfeng@tp-link.com.hk
barret.lei@tp-link.com.hk
bobby.zou@tp-link.com
brand.jiang@tp-link.com
buqian@tp-link.com.hk
buyongle@tp-link.com.hk
caichenyu@tp-link.com.hk
... 还有 90 个用户",
实现版本,关联项目,relation,,fixVersions,"待评估版本
v6.0
ODC v1.1
ODC v1.2
ODC v1.3
ODC v2.0
Omada v6.1
Omada v6.2
Omada v6.3
Omada v6.4
网安一体机1.0
Omada Pro v1.10.20
Omada Central v2.1
Cloud Portal v5.1
Cloud Portal v5.2
Cloud Portal v5.3
Navi v2.0
Omada CBC v5.15.24
SE工作",
关联链接,JIRA Card,url,,无,,写入JIRA 后需要回写 Notion 的字段，内容为 JIRA Card 链接
